load data...
Start train...
Epoch: 11, MAE: 0.043577873867361484, bestMAE: 0.04632128838434243, bestEpoch: 10.
Save state_dict successfully! Best epoch:11.
2022-01-19 12:48:56.641862 Epoch [012/200], Step [0001/0253], Total_loss: 1.8823 Loss1: 1.4571 Loss2: 0.4252
2022-01-19 12:49:06.362963 Epoch [012/200], Step [0020/0253], Total_loss: 1.7869 Loss1: 1.3688 Loss2: 0.4181
2022-01-19 12:49:15.082582 Epoch [012/200], Step [0040/0253], Total_loss: 2.1051 Loss1: 1.6120 Loss2: 0.4931
2022-01-19 12:49:23.915601 Epoch [012/200], Step [0060/0253], Total_loss: 1.8518 Loss1: 1.4212 Loss2: 0.4306
2022-01-19 12:49:32.667983 Epoch [012/200], Step [0080/0253], Total_loss: 2.2384 Loss1: 1.7223 Loss2: 0.5162
2022-01-19 12:49:41.424808 Epoch [012/200], Step [0100/0253], Total_loss: 1.8185 Loss1: 1.3905 Loss2: 0.4280
2022-01-19 12:49:50.234828 Epoch [012/200], Step [0120/0253], Total_loss: 1.9955 Loss1: 1.5345 Loss2: 0.4610
2022-01-19 12:49:59.199817 Epoch [012/200], Step [0140/0253], Total_loss: 2.0155 Loss1: 1.5457 Loss2: 0.4698
2022-01-19 12:50:08.256512 Epoch [012/200], Step [0160/0253], Total_loss: 2.0989 Loss1: 1.6044 Loss2: 0.4944
2022-01-19 12:50:17.169182 Epoch [012/200], Step [0180/0253], Total_loss: 1.5974 Loss1: 1.2239 Loss2: 0.3735
2022-01-19 12:50:26.096528 Epoch [012/200], Step [0200/0253], Total_loss: 2.3470 Loss1: 1.8080 Loss2: 0.5389
2022-01-19 12:50:35.105073 Epoch [012/200], Step [0220/0253], Total_loss: 2.2633 Loss1: 1.7389 Loss2: 0.5244
2022-01-19 12:50:43.988812 Epoch [012/200], Step [0240/0253], Total_loss: 2.1662 Loss1: 1.6574 Loss2: 0.5089
